WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.5071982 -5.7985266)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985266,106.5071982,1.0
"POINT (106.8054048 -6.2619947)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.332973,106.807915,1.0
"POINT (106.8967287 -6.2245154)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.211544,106.845172,1.0
"POINT (106.8293213 -6.1806553)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.211544,106.845172,1.0
"POINT (106.7622017 -6.1671727)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.211544,106.845172,1.0
"POINT (106.8946804 -6.146957)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.211544,106.845172,1.0
